Equipment History Detail,,,,
Parameters,,,,
"Sun, Sep 17, 2023 12:00 AM to Sun, Sep 24, 2023 11:59 PM",,,,
Categories: Recreational Equipment,,,,
Customer,"Checked Out
(User)",Due Date,"Checked In
(User)",Overdue
Category: Recreational Equipment,,,,
Equipment: Ab Roller,,,,
Item: AB1,,,,
NAME,"Wed, Sep 20, 2023 8:35A","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 8:48A",
,,,,
NAME,"Sun, Sep 24, 2023 10:26A","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 10:37A",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 12:37P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 1:32P",
,EMAIL,,EMAIL,
Item: AB2,,,,
NAME,"Tue, Sep 19, 2023 10:27A","Tue, Sep 19, 2023 11:59P","Wed, Sep 20, 2023 3:27P",1 day(s)
,(equipment),,EMAIL,
Equipment: Badminton Racquet,,,,
Item: BDN-01,,,,
NAME,"Thu, Sep 21, 2023 2:02P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 2:18P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 5:41P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 8:24P",
,(equipment),,(equipment),
Item: BDN-02,,,,
NAME,"Sat, Sep 23, 2023 5:41P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 8:24P",
,(equipment),,(equipment),
Item: BDN-03,,,,
NAME,"Thu, Sep 21, 2023 2:02P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 2:18P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 5:41P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 8:24P",
,(equipment),,(equipment),
Equipment: Foam Roller,,,,
Item: FR-1,,,,
NAME,"Sun, Sep 17, 2023 10:22A","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 10:28A",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 17, 2023 6:08P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 6:11P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 9:57A","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 12:13P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 3:40P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 4:06P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 8:36P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 9:18P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 10:06A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 11:25A",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 1:48P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 1:58P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 4:59P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 5:15P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 5:25P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 5:39P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 6:17P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:31P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 6:31P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:35P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 7:10P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 7:14P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 9:04P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 9:09P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 4:13P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 5:27P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 8:18A","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 9:46A",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 3:26P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 3:37P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 1:03P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 1:08P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 12:03P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 12:10P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 1:03P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 1:32P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 5:28P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 5:56P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 9:47P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 10:25P",
,EMAIL,,EMAIL,
Item: FR-2,,,,
NAME,"Tue, Sep 19, 2023 10:54A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 11:36A",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 6:17P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:31P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 10:35P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:40P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 3:27P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 5:28P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 6:29P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 6:34P",
,EMAIL,,EMAIL,
NAME,"Fri, Sep 22, 2023 5:41A","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 5:48A",
,(equipment),,(equipment),
Item: FR-3,,,,
NAME,"Mon, Sep 18, 2023 6:14P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 6:24P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 9:13A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 9:42A",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 9:59A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:57A",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 10:58A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 11:04A",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 11:44A","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 12:09P",
,(equipment),,(equipment),
Item: FR-4,,,,
NAME,"Sun, Sep 17, 2023 9:25P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 9:37P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 5:59P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 6:07P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 12:17P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 4:13P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 3:25P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 3:42P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 4:47P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 4:59P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 11:23A","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 11:43A",
,EMAIL,,EMAIL,
Equipment: Gliding Discs,,,,
Item: 1,,,,
NAME,"Sun, Sep 24, 2023 12:37P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 1:32P",
,EMAIL,,EMAIL,
Item: 2,,,,
NAME,"Tue, Sep 19, 2023 10:27A","Tue, Sep 19, 2023 11:59P","Wed, Sep 20, 2023 3:27P",1 day(s)
,(equipment),,EMAIL,
Equipment: Indoor Soccer Ball,,,,
Item: SBI - 1,,,,
NAME,"Mon, Sep 18, 2023 7:55A","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 8:22A",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 6:07P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 7:14P",
,EMAIL,,EMAIL,
Equipment: Indoor Volleyball,,,,
Item: VB-1,,,,
NAME,"Sun, Sep 17, 2023 12:40P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 12:41P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 10:25P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 10:55P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 9:46P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:43P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 8:43P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 9:05P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 8:55P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 10:47P",
,EMAIL,,EMAIL,
Equipment: Men's Basketball,,,,
Item: MBB-01,,,,
NAME,"Sun, Sep 17, 2023 10:48A","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 10:48A",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 4:22P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 5:28P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 5:44A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:05A",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 6:54A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 7:53A",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 8:02A","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 8:27A",
,,,,
NAME,"Wed, Sep 20, 2023 8:44A","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 9:36A",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 2:25P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 2:25P",
,EMAIL,,EMAIL,
Item: MBB-02,,,,
NAME,"Sun, Sep 17, 2023 7:31P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 8:51P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 10:01A","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 10:27A",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 3:15P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 3:55P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 4:11P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 4:11P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 5:47P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 6:09P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 6:57P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 7:00P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 9:12P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 9:41P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 4:58P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:09P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 9:17P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 9:36P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 9:39P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:17P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 10:31P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 11:51P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 10:48A","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 11:36A",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 5:14P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 6:08P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 6:32P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 8:39P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 9:00P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 9:36P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 10:50P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 11:43P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 11:22A","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 1:11P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 4:38P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 5:13P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 7:41P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 8:34P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 9:16P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 10:00P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 2:25P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 4:06P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 5:17P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 6:36P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 6:41P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 7:22P",
,EMAIL,,EMAIL,
Item: MBB-03,,,,
NAME,"Sun, Sep 17, 2023 7:13P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 8:04P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 17, 2023 8:23P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 9:43P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 3:24P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 3:46P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 4:00P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 6:08P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 6:38P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 8:20P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 9:13P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 9:45P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 11:43A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 12:59P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 4:13P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 5:14P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 5:52P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:59P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 9:30P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:10P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 11:34A","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 12:10P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 12:52P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 2:25P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 4:59P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 6:00P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 7:17P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 9:56P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 9:55A","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 10:14A",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 11:52A","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 1:05P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 1:22P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 1:44P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 2:06P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 2:33P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 4:57P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:04P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 2:43P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 4:04P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 4:17P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 4:21P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 4:26P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 4:53P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 5:35P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 6:29P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 6:30P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 6:33P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 7:03P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 8:27P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 9:16P","Fri, Sep 22, 2023 11:59P","Fri, Sep 22, 2023 10:00P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 10:36A","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 11:49A",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 12:06P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 12:31P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 1:45P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 2:17P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 2:30P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 2:54P",
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 3:17P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 4:11P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 5:17P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 6:36P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 24, 2023 8:52P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 11:09P",
,EMAIL,,EMAIL,
Item: MBB-04,,,,
NAME,"Sun, Sep 17, 2023 6:00P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 7:11P",
,EMAIL,,EMAIL,
NAME,"Fri, Sep 22, 2023 3:37P","Fri, Sep 22, 2023 11:59P","Sun, Sep 24, 2023 12:37P",2 day(s)
,(equipment),,EMAIL,
Item: MBB-05,,,,
NAME,"Sun, Sep 17, 2023 5:09P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 6:14P",
,EMAIL,,EMAIL,
NAME,"Sun, Sep 17, 2023 7:22P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 8:48P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 10:28A","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 11:25A",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 2:56P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 3:27P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 4:09P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 4:37P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 5:55P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 7:16P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 7:27P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 7:52P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 9:13P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 9:45P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 9:49P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 10:17P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 10:35P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 10:49P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 10:49P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 11:55P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 11:40A","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 12:22P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 4:15P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 5:10P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 5:20P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:26P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 9:30P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:10P",
,(equipment),,(equipment),
NAME,"Wed, Sep 20, 2023 1:43P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 2:50P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 3:02P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 3:44P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 7:43P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 8:10P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 8:10P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 9:00P",
,EMAIL,,EMAIL,
NAME,"Wed, Sep 20, 2023 10:37P","Wed, Sep 20, 2023 11:59P","Wed, Sep 20, 2023 11:50P",
,EMAIL,,EMAIL,
NAME,"Thu, Sep 21, 2023 4:58P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:04P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 5:24P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:27P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 5:30P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:52P",
,(equipment),,(equipment),
NAME,"Thu, Sep 21, 2023 5:52P","Thu, Sep 21, 2023 11:59P","Thu, Sep 21, 2023 5:55P",
,(equipment),,(equipment),
NAME,"Fri, Sep 22, 2023 2:18P","Fri, Sep 22, 2023 11:59P","Sat, Sep 23, 2023 2:54P",1 day(s)
,(equipment),,(equipment),
NAME,"Sat, Sep 23, 2023 2:59P","Sat, Sep 23, 2023 11:59P","Sat, Sep 23, 2023 5:55P",
,(equipment),,(equipment),
NAME,"Sun, Sep 24, 2023 2:16P","Sun, Sep 24, 2023 11:59P","Sun, Sep 24, 2023 4:04P",
,EMAIL,,EMAIL,
Item: MBB-06,,,,
NAME,"Sun, Sep 17, 2023 8:27P","Sun, Sep 17, 2023 11:59P","Sun, Sep 17, 2023 8:58P",
,EMAIL,,EMAIL,
NAME,"Mon, Sep 18, 2023 3:45P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 4:10P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 4:11P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 4:41P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 5:58P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 6:58P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 6:58P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 7:00P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 7:10P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 7:47P",
,(equipment),,(equipment),
NAME,"Mon, Sep 18, 2023 8:04P","Mon, Sep 18, 2023 11:59P","Mon, Sep 18, 2023 8:28P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 4:41P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 6:09P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 6:18P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 7:14P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 8:30P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 8:52P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 9:11P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:06P",
,(equipment),,(equipment),
NAME,"Tue, Sep 19, 2023 10:09P","Tue, Sep 19, 2023 11:59P","Tue, Sep 19, 2023 10:46P",
,(equipment),,(equipment),
